 POST        USINA       JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXXXX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX
MESPLAN =    8     ANOPLAN = 2024
   66                8272.00   8135.00   8375.00  11179.00   5542.00   4834.00   4590.00   6324.00   6407.00   8122.00  11298.00   9304.00
   70                  10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00    396.00    351.00     10.00
   71                  88.00     74.00     96.00     79.00     89.00     64.00    114.00    103.00    140.00    430.00    402.00    111.00
   72                  95.00     78.00    102.00     86.00    104.00     71.00    127.00    109.00    147.00    456.00    428.00    119.00
   73                 122.00     99.00    125.00    113.00    168.00     98.00    177.00    134.00    175.00    569.00    524.00    150.00
   74                 494.00    478.00    679.00    576.00    997.00    736.00   1209.00    709.00    524.00   3315.00   2920.00    891.00
   75                 744.00    673.00    918.00    809.00   1469.00    976.00   1621.00    961.00    828.00   4012.00   3631.00   1208.00
   76                 632.00    584.00    803.00    706.00   1311.00    888.00   1454.00    837.00    663.00   3838.00   3457.00   1068.00
   77                 798.00    711.00   1008.00    930.00   1717.00   1104.00   1785.00   1041.00    954.00   4688.00   4493.00   1356.00
   78                 813.00    723.00   1041.00    969.00   1803.00   1159.00   1837.00   1072.00    999.00   4728.00   4758.00   1420.00
   80                  27.00     16.00     43.00     66.00    142.00     62.00     94.00     39.00     67.00    194.00    266.00     71.00
   81                 974.00    818.00   1305.00   1370.00   2662.00   1535.00   2406.00   1314.00   1407.00   5869.00   6407.00   1858.00
   83                  28.00     17.00     46.00     71.00    152.00     66.00    101.00     42.00     72.00    208.00    284.00     76.00
   85                 187.00     97.00    104.00    102.00    724.00    359.00    361.00     81.00    467.00    801.00    718.00    222.00
   88                 375.00    241.00    349.00    227.00    661.00    394.00    693.00    186.00    309.00   1470.00   1315.00    530.00
   89                 489.00    280.00    437.00    295.00    873.00    526.00    869.00    229.00    390.00   1691.00   1713.00    628.00
   92                1467.00    857.00   1181.00   1012.00   4154.00   2191.00   2604.00    756.00   2130.00   5933.00   6150.00   1955.00
   93                  61.00     50.00     60.00     98.00    293.00    138.00    112.00     43.00    154.00    304.00    394.00    125.00
   94                1837.00   1111.00   1574.00   1333.00   5437.00   2905.00   3361.00   1007.00   2715.00   7618.00   8147.00   2814.00
   97                 243.00    151.00    130.00    229.00   2530.00   1146.00    340.00    113.00   1353.00   1173.00   1414.00    356.00
   98                 135.00     80.00     58.00    113.00   1706.00    777.00    198.00     72.00    801.00    683.00    879.00    217.00
   99                  61.00     60.00     64.00     82.00     51.00     45.00     45.00     44.00     44.00     49.00     51.00     55.00
  100                   5.00      6.00      6.00      5.00      4.00      4.00      4.00      3.00      4.00      5.00      5.00      5.00
  101                 172.00    138.00    168.00    115.00    350.00    206.00    361.00     87.00    145.00    656.00    621.00    207.00
  102                 502.00    212.00    253.00    487.00   1260.00    596.00    281.00    195.00    868.00    942.00   1270.00    565.00
  103                 523.00    220.00    263.00    502.00   1306.00    618.00    295.00    203.00    898.00    969.00   1321.00    591.00
  104                  84.00     67.00     50.00     37.00     30.00     28.00     27.00     34.00     35.00     68.00     47.00     38.00
  109                  47.00     31.00     24.00     17.00     12.00     12.00     11.00     16.00     17.00     37.00     24.00     19.00
  110                  52.00     39.00     48.00     70.00    166.00    115.00     53.00     33.00    161.00    133.00    180.00     71.00
  111                 338.00    179.00    247.00    426.00   1477.00    730.00    360.00    163.00    909.00    809.00   1160.00    521.00
