UH   ME ANO   P  MWmedio
XXX  XX XXXX  X  XXXX.X
 66   8 2024  0  4560.5
 66   9 2024  0  4612.0
 66  10 2024  0  4623.0
 66  11 2024  0  4818.0
 66  12 2024  0  5112.0
 66   1 2025  0  5180.0
 66   2 2025  0  5027.0
 66   3 2025  0  4933.0
 66   4 2025  0  4500.0
 66   9 2025  0  4567.0
 66  10 2025  0  4738.0
 66  11 2025  0  4942.0
 66  12 2025  0  5251.0
 66   1 2026  0  5323.0
 66   2 2026  0  5162.0
 66   3 2026  0  5063.0
 66   4 2026  0  4500.0
 66   8 2026  0  4598.0
 66   9 2026  0  4679.0
 66  10 2026  0  4858.0
 66  11 2026  0  5072.0
 66  12 2026  0  5397.0
 66   1 2027  0  5472.0
 66   2 2027  0  5304.0
 66   3 2027  0  5200.0
 66   4 2027  0  4595.0
 66   5 2027  0  4500.0
 66   7 2027  0  4547.0
 66   8 2027  0  4711.0
 66   9 2027  0  4796.0
 66  10 2027  0  4984.0
 66  11 2027  0  5209.0
 66  12 2027  0  5551.0
 66   1 2028  0  5629.0
 66   2 2028  0  5345.0
 66   3 2028  0  5343.0
 66   4 2028  0  4708.0
 66   5 2028  0  4500.0
 66   6 2028  0  4503.0
 66   7 2028  0  4658.0
 66   8 2028  0  4830.0
 66   9 2028  0  4919.0
 66  10 2028  0  5117.0
 66  11 2028  0  5353.0
 66  12 2028  0  5712.0
 66   1 POS   0  5629.0
 66   2 POS   0  5345.0
 66   3 POS   0  5343.0
 66   4 POS   0  4708.0
 66   5 POS   0  4500.0
 66   6 POS   0  4503.0
 66   7 POS   0  4658.0
 66   8 POS   0  4830.0
 66   9 POS   0  4919.0
 66  10 POS   0  5117.0
 66  11 POS   0  5353.0
 66  12 POS   0  5712.0
275   8 2024  0  1432.6
275   9 2024  0  1390.0
275  10 2024  0  1300.0
275  12 2024  0  1400.0
275   2 2025  0  1600.0
275   8 2025  0  1500.0
275   9 2025  0  1400.0
275  10 2025  0  1300.0
275  12 2025  0  1400.0
275   2 2026  0  1600.0
275   8 2026  0  1500.0
275   9 2026  0  1400.0
275  10 2026  0  1300.0
275  12 2026  0  1400.0
275   2 2027  0  1600.0
275   8 2027  0  1500.0
275   9 2027  0  1400.0
275  10 2027  0  1300.0
275  12 2027  0  1400.0
275   2 2028  0  1600.0
275   8 2028  0  1500.0
275   9 2028  0  1400.0
275  10 2028  0  1300.0
275  12 2028  0  1400.0
275   2 POS   0  1600.0
275   8 POS   0  1500.0
275   9 POS   0  1400.0
275  10 POS   0  1300.0
275  12 POS   0  1400.0
999
