NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   1 POTEF   640.00  8 2024          ANGRA 1
   1 FCMAX   100.00  8 2024          
   1 TEIFT     0.00  8 2024  9 2024  
   1 GTMIN   639.99  8 2024  9 2024  
   1 GTMIN   509.82 10 2024  3 2025  
   1 IPTER     0.00  1 2025  3 2025  
   1 IPTER    86.67  4 2025  4 2025  
   1 GTMIN    83.48  4 2025  4 2025  
   1 IPTER   100.00  5 2025  5 2025  
   1 IPTER    43.33  6 2025  6 2025  
   1 GTMIN   354.92  6 2025  6 2025  
   1 IPTER     0.00  7 2025 12 2025  
   1 GTMIN   509.82  7 2025          
  13 POTEF  1350.00  8 2024          ANGRA 2
  13 FCMAX   100.00  8 2024          
  13 TEIFT     0.00  8 2024  9 2024  
  13 GTMIN  1349.99  8 2024  9 2024  
  13 GTMIN  1080.00 10 2024 10 2024  
  13 GTMIN   481.27 11 2024 11 2024  
  13 GTMIN   423.39 12 2024 12 2024  
  13 GTMIN  1080.00  1 2025          
 211 POTEF   530.00  8 2024          BAIXADA FLU
 211 FCMAX   100.00  8 2024          
 211 TEIFT     0.00  8 2024  9 2024  
 256 POTEF    80.00  9 2026          CIDADE LIVRO
  97 POTEF   216.00  8 2024 12 2024  CUBATAO
  97 FCMAX    96.76  8 2024  9 2024  
  97 TEIFT     0.00  8 2024  9 2024  
  97 FCMAX   100.00 10 2024 12 2024  
  97 GTMIN    86.40 10 2024 12 2024  
  97 POTEF   249.90  1 2025          CUBATAO
  97 FCMAX    86.43  1 2025          
  97 IPTER     0.00  1 2025  5 2025  
  97 TEIFT     8.65  1 2025          
  97 IPTER    22.16  6 2025  6 2025  
  97 IPTER     3.22  7 2025  7 2025  
  97 IPTER    14.81  8 2025  8 2025  
  97 IPTER     1.33  9 2025  9 2025  
  97 IPTER     0.00 10 2025 12 2025  
  97 IPTER    11.35  1 2026          
  12 POTEF   529.20  8 2024          CUIABA G CC
  12 FCMAX     5.97  8 2024  8 2024  
  12 TEIFT     0.00  8 2024  9 2024  
  12 FCMAX    92.59  9 2024  9 2024  
  12 FCMAX    90.00 10 2024          
 153 POTEF    44.44  8 2024          DAIA
 153 FCMAX     0.00  8 2024          
