 iream,iper,ipea,
   1,     8,     8,     0.33333,     0.33333,     0.33333,
   1,     9,     9,     0.33333,     0.33333,     0.33333,
   1,    10,    10,     0.33333,     0.33333,     0.33333,
   1,    11,    11,     0.33333,     0.33333,     0.33333,
   1,    12,    12,     0.33333,     0.33333,     0.33333,
   1,    13,     1,     0.33333,     0.33333,     0.33333,
   1,    14,     2,     0.33333,     0.33333,     0.33333,
   1,    15,     3,     0.33333,     0.33333,     0.33333,
   1,    16,     4,     0.33333,     0.33333,     0.33333,
   1,    17,     5,     0.33333,     0.33333,     0.33333,
   1,    18,     6,     0.33333,     0.33333,     0.33333,
   1,    19,     7,     0.33333,     0.33333,     0.33333,
