data,fonte,submercado,patamar,sistema_orig,pat,sistema_calc,sistema,pmo,erro
2028-06-01,EOL,SUDESTE,2,4.0,0.9855,3.942,4.0,4.0,0.0
2028-07-01,EOL,SUDESTE,2,5.0,1.014,5.07,5.0,5.0,0.0
2028-08-01,EOL,SUDESTE,2,8.0,1.0196,8.1568,8.0,8.0,0.0
2028-09-01,EOL,SUDESTE,2,10.0,0.9909,9.909,10.0,10.0,0.0
2028-10-01,EOL,SUDESTE,2,9.0,0.9637,8.6733,9.0,9.0,0.0
2028-11-01,EOL,SUDESTE,2,7.0,1.0395,7.2765,7.0,7.0,0.0
2028-12-01,EOL,SUDESTE,2,8.0,1.0598,8.4784,8.0,8.0,0.0
2024-08-01,EOL,SUDESTE,3,8.0,0.8363,6.6904,7.0,7.0,0.0
2024-09-01,EOL,SUDESTE,3,10.0,0.8373,8.373000000000001,8.0,8.0,0.0
2024-10-01,EOL,SUDESTE,3,9.0,0.8984,8.0856,8.0,8.0,0.0
2024-11-01,EOL,SUDESTE,3,7.0,0.7939,5.557300000000001,6.0,6.0,0.0
2024-12-01,EOL,SUDESTE,3,8.0,0.805,6.44,6.0,6.0,0.0
2025-01-01,EOL,SUDESTE,3,10.0,0.8088,8.088,8.0,8.0,0.0
2025-02-01,EOL,SUDESTE,3,7.0,0.8681,6.0767,6.0,6.0,0.0
2025-03-01,EOL,SUDESTE,3,5.0,0.7968,3.984,4.0,4.0,0.0
2025-04-01,EOL,SUDESTE,3,3.0,0.879,2.637,3.0,3.0,0.0
2025-05-01,EOL,SUDESTE,3,3.0,0.816,2.448,2.0,2.0,0.0
2025-06-01,EOL,SUDESTE,3,4.0,0.7966,3.1864,3.0,3.0,0.0
2025-07-01,EOL,SUDESTE,3,5.0,0.7621,3.8105,4.0,4.0,0.0
2025-08-01,EOL,SUDESTE,3,8.0,0.8413,6.7304,7.0,7.0,0.0
2025-09-01,EOL,SUDESTE,3,10.0,0.8318,8.318,8.0,8.0,0.0
2025-10-01,EOL,SUDESTE,3,9.0,0.8984,8.0856,8.0,8.0,0.0
2025-11-01,EOL,SUDESTE,3,7.0,0.7939,5.557300000000001,6.0,6.0,0.0
2025-12-01,EOL,SUDESTE,3,9.0,0.7995,7.1955,7.0,7.0,0.0
2026-01-01,EOL,SUDESTE,3,10.0,0.8145,8.145,8.0,8.0,0.0
2026-02-01,EOL,SUDESTE,3,7.0,0.8731,6.1117,6.0,6.0,0.0
2026-03-01,EOL,SUDESTE,3,6.0,0.7836,4.7016,5.0,5.0,0.0
2026-04-01,EOL,SUDESTE,3,3.0,0.879,2.637,3.0,3.0,0.0
2026-05-01,EOL,SUDESTE,3,3.0,0.8219,2.4657,2.0,2.0,0.0
2026-06-01,EOL,SUDESTE,3,4.0,0.7898,3.1592,3.0,3.0,0.0
2026-07-01,EOL,SUDESTE,3,5.0,0.7621,3.8105,4.0,4.0,0.0
2026-08-01,EOL,SUDESTE,3,8.0,0.8413,6.7304,7.0,7.0,0.0
2026-09-01,EOL,SUDESTE,3,10.0,0.8373,8.373000000000001,8.0,8.0,0.0
2026-10-01,EOL,SUDESTE,3,9.0,0.9057,8.151299999999999,8.0,8.0,0.0
2026-11-01,EOL,SUDESTE,3,7.0,0.7939,5.557300000000001,6.0,6.0,0.0
2026-12-01,EOL,SUDESTE,3,9.0,0.7995,7.1955,7.0,7.0,0.0
2027-01-01,EOL,SUDESTE,3,10.0,0.8202,8.202,8.0,8.0,0.0
2027-02-01,EOL,SUDESTE,3,7.0,0.8731,6.1117,6.0,6.0,0.0
2027-03-01,EOL,SUDESTE,3,6.0,0.7836,4.7016,5.0,5.0,0.0
2027-04-01,EOL,SUDESTE,3,3.0,0.8737,2.6211,3.0,3.0,0.0
2027-05-01,EOL,SUDESTE,3,3.0,0.8219,2.4657,2.0,2.0,0.0
2027-06-01,EOL,SUDESTE,3,4.0,0.7832,3.1328,3.0,3.0,0.0
2027-07-01,EOL,SUDESTE,3,5.0,0.7687,3.8435,4.0,4.0,0.0
2027-08-01,EOL,SUDESTE,3,8.0,0.8363,6.6904,7.0,7.0,0.0
2027-09-01,EOL,SUDESTE,3,10.0,0.8373,8.373000000000001,8.0,8.0,0.0
2027-10-01,EOL,SUDESTE,3,9.0,0.9093,8.1837,8.0,8.0,0.0
2027-11-01,EOL,SUDESTE,3,7.0,0.7874,5.5118,6.0,6.0,0.0
2027-12-01,EOL,SUDESTE,3,9.0,0.7941,7.1469000000000005,7.0,7.0,0.0
2028-01-01,EOL,SUDESTE,3,10.0,0.8145,8.145,8.0,8.0,0.0
2028-02-01,EOL,SUDESTE,3,7.0,0.8715,6.1005,6.0,6.0,0.0
2028-03-01,EOL,SUDESTE,3,6.0,0.7771,4.6626,5.0,5.0,0.0
2028-04-01,EOL,SUDESTE,3,3.0,0.8897,2.6691000000000003,3.0,3.0,0.0
2028-05-01,EOL,SUDESTE,3,3.0,0.8102,2.4306,2.0,2.0,0.0
2028-06-01,EOL,SUDESTE,3,4.0,0.7898,3.1592,3.0,3.0,0.0
2028-07-01,EOL,SUDESTE,3,5.0,0.7755,3.8775,4.0,4.0,0.0
2028-08-01,EOL,SUDESTE,3,8.0,0.8313,6.6504,7.0,7.0,0.0
2028-09-01,EOL,SUDESTE,3,10.0,0.8429,8.429,8.0,8.0,0.0
2028-10-01,EOL,SUDESTE,3,9.0,0.9057,8.151299999999999,8.0,8.0,0.0
2028-11-01,EOL,SUDESTE,3,7.0,0.7939,5.557300000000001,6.0,6.0,0.0
2028-12-01,EOL,SUDESTE,3,8.0,0.8105,6.484,6.0,6.0,0.0
