submercado_de,submercado_para,sentido,data,par,calculado,esperado,erro
1,2,0,2024-08-01,"(1, 2)",9599.0,9599.0,0.0
1,2,0,2024-09-01,"(1, 2)",10301.0,10301.0,0.0
1,2,0,2024-10-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2024-11-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2024-12-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-01-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-02-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-03-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-04-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-05-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-06-01,"(1, 2)",11401.0,11401.0,0.0
1,2,0,2025-07-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-08-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-09-01,"(1, 2)",11400.0,11400.0,0.0
1,2,0,2025-10-01,"(1, 2)",11800.0,11800.0,0.0
1,2,0,2025-11-01,"(1, 2)",11799.0,11799.0,0.0
1,2,0,2025-12-01,"(1, 2)",11799.0,11799.0,0.0
1,2,0,2026-01-01,"(1, 2)",11801.0,11801.0,0.0
1,2,0,2026-02-01,"(1, 2)",11800.0,11800.0,0.0
1,2,0,2026-03-01,"(1, 2)",11799.0,11799.0,0.0
1,2,0,2026-04-01,"(1, 2)",12999.0,12999.0,0.0
1,2,0,2026-05-01,"(1, 2)",13000.0,13000.0,0.0
1,2,0,2026-06-01,"(1, 2)",13000.0,13000.0,0.0
1,2,0,2026-07-01,"(1, 2)",12999.0,12999.0,0.0
1,2,0,2026-08-01,"(1, 2)",13000.0,13000.0,0.0
1,2,0,2026-09-01,"(1, 2)",13001.0,13001.0,0.0
1,2,0,2026-10-01,"(1, 2)",12999.0,12999.0,0.0
1,2,0,2026-11-01,"(1, 2)",13000.0,13000.0,0.0
1,2,0,2026-12-01,"(1, 2)",13000.0,13000.0,0.0
1,2,0,2027-01-01,"(1, 2)",12999.0,12999.0,0.0
1,2,0,2027-02-01,"(1, 2)",13000.0,13000.0,0.0
1,2,0,2027-03-01,"(1, 2)",13000.0,13000.0,0.0
1,2,0,2027-04-01,"(1, 2)",13001.0,13001.0,0.0
1,2,0,2027-05-01,"(1, 2)",13000.0,13000.0,0.0
1,2,0,2027-06-01,"(1, 2)",13000.0,13000.0,0.0
