data,valor,ree,pmo,erro
1949-12-01,5121.1,SUDESTE,5121.0,0.0
1950-01-01,5808.1,SUDESTE,5808.0,0.0
1950-02-01,7525.2,SUDESTE,7525.2,0.0
1950-03-01,8130.7,SUDESTE,8130.6,0.0
1950-04-01,5627.6,SUDESTE,5627.6,0.0
1950-05-01,3067.4,SUDESTE,3067.3,0.0
1950-06-01,2102.7,SUDESTE,2102.7,0.0
1950-07-01,1708.3,SUDESTE,1708.3,0.0
1950-08-01,1396.1,SUDESTE,1396.0,0.0
1950-09-01,1254.6,SUDESTE,1254.6,0.0
1950-10-01,1883.2,SUDESTE,1883.2,0.0
1950-11-01,3595.0,SUDESTE,3595.0,0.0
1950-12-01,5272.3,SUDESTE,5272.3,0.0
1951-01-01,5774.2,SUDESTE,5774.1,0.0
1951-02-01,6498.7,SUDESTE,6498.7,0.0
1951-03-01,7861.8,SUDESTE,7861.8,0.0
1951-04-01,6615.2,SUDESTE,6615.1,0.0
1951-05-01,3249.5,SUDESTE,3249.5,0.0
1951-06-01,2481.8,SUDESTE,2481.7,0.0
1951-07-01,2024.9,SUDESTE,2024.9,0.0
1951-08-01,1717.3,SUDESTE,1717.3,0.0
1951-09-01,1492.1,SUDESTE,1492.1,0.0
1951-10-01,1599.5,SUDESTE,1599.5,0.0
1951-11-01,1644.9,SUDESTE,1644.8,0.0
1951-12-01,3826.3,SUDESTE,3826.3,0.0
1952-01-01,4686.5,SUDESTE,4686.4,0.0
1952-02-01,6370.2,SUDESTE,6370.1,0.0
1952-03-01,11102.4,SUDESTE,11102.2,0.0
1952-04-01,4880.3,SUDESTE,4880.3,0.0
1952-05-01,3088.9,SUDESTE,3088.9,0.0
1952-06-01,2532.8,SUDESTE,2532.8,0.0
1952-07-01,1779.2,SUDESTE,1779.2,0.0
1952-08-01,1480.9,SUDESTE,1480.9,0.0
1952-09-01,1595.9,SUDESTE,1595.9,0.0
1952-10-01,1412.1,SUDESTE,1412.1,0.0
1952-11-01,2828.2,SUDESTE,2828.2,0.0
1952-12-01,5507.6,SUDESTE,5507.5,0.0
1953-01-01,2665.7,SUDESTE,2665.7,0.0
1953-02-01,3505.1,SUDESTE,3505.1,0.0
1953-03-01,4314.5,SUDESTE,4314.5,0.0
1953-04-01,4213.2,SUDESTE,4213.2,0.0
1953-05-01,2282.8,SUDESTE,2282.8,0.0
1953-06-01,1662.2,SUDESTE,1662.2,0.0
1953-07-01,1383.6,SUDESTE,1383.6,0.0
1953-08-01,1271.7,SUDESTE,1271.7,0.0
1953-09-01,1227.9,SUDESTE,1227.9,0.0
1953-10-01,1847.8,SUDESTE,1847.8,0.0
1953-11-01,3209.1,SUDESTE,3209.1,0.0
1953-12-01,6076.9,SUDESTE,6076.8,0.0
1954-01-01,4236.5,SUDESTE,4236.4,0.0
1954-02-01,6554.3,SUDESTE,6554.2,0.0
1954-03-01,3656.1,SUDESTE,3656.1,0.0
1954-04-01,4018.9,SUDESTE,4018.9,0.0
1954-05-01,2449.4,SUDESTE,2449.4,0.0
1954-06-01,1737.6,SUDESTE,1737.5,0.0
1954-07-01,1291.7,SUDESTE,1291.7,0.0
1954-08-01,1067.6,SUDESTE,1067.6,0.0
1954-09-01,981.7,SUDESTE,981.7,0.0
1954-10-01,1207.8,SUDESTE,1207.8,0.0
1954-11-01,2128.6,SUDESTE,2128.6,0.0
1954-12-01,4843.3,SUDESTE,4843.3,0.0
1955-01-01,6214.1,SUDESTE,6214.0,0.0
1955-02-01,4896.2,SUDESTE,4896.1,0.0
1955-03-01,4202.3,SUDESTE,4202.3,0.0
1955-04-01,4560.2,SUDESTE,4560.1,0.0
1955-05-01,1942.1,SUDESTE,1942.1,0.0
1955-06-01,1616.6,SUDESTE,1616.6,0.0
1955-07-01,1232.0,SUDESTE,1232.0,0.0
1955-08-01,1058.2,SUDESTE,1058.2,0.0
1955-09-01,1009.0,SUDESTE,1009.0,0.0
1955-10-01,1496.2,SUDESTE,1496.2,0.0
1955-11-01,2777.1,SUDESTE,2777.1,0.0
1955-12-01,5930.0,SUDESTE,5929.9,0.0
1956-01-01,5158.7,SUDESTE,5158.6,0.0
1956-02-01,3226.3,SUDESTE,3226.2,0.0
1956-03-01,6393.8,SUDESTE,6393.7,0.0
1956-04-01,3054.4,SUDESTE,3054.4,0.0
1956-05-01,2770.2,SUDESTE,2770.2,0.0
1956-06-01,2347.2,SUDESTE,2347.2,0.0
1956-07-01,1606.5,SUDESTE,1606.5,0.0
1956-08-01,1637.2,SUDESTE,1637.1,0.0
1956-09-01,1271.2,SUDESTE,1271.2,0.0
1956-10-01,1682.0,SUDESTE,1682.0,0.0
1956-11-01,4236.7,SUDESTE,4236.7,0.0
1956-12-01,8497.8,SUDESTE,8497.7,0.0
1957-01-01,11076.3,SUDESTE,11076.2,0.0
1957-02-01,9624.7,SUDESTE,9624.6,0.0
1957-03-01,11792.0,SUDESTE,11791.9,0.0
1957-04-01,9937.6,SUDESTE,9937.5,0.0
1957-05-01,3738.4,SUDESTE,3738.3,0.0
1957-06-01,2669.5,SUDESTE,2669.5,0.0
